"","CPO_Mock_72hpi_S1","CPO_Mock_72hpi_S2","CPO_Mock_72hpi_S3","CPO_SARS-CoV-2_24hpi_S4","CPO_SARS-CoV-2_24hpi_S5","CPO_SARS-CoV-2_24hpi_S6","CPO_SARS-CoV-2_72hpi_S7","CPO_SARS-CoV-2_72hpi_S8","CPO_SARS-CoV-2_72hpi_S9"
"LRRIQ3",28,46,39,15,25,58,74,19,25
"FPGT",1123,802,840,646,752,1101,1294,587,950
"CRYZ",26,22,25,7,4,43,43,20,18
"SLC44A5",479,553,390,404,466,1029,1225,524,788
"ACADM",5923,4521,4376,4015,5011,5979,7898,3603,5109
"RABGGTB",2433,2420,2201,2166,3840,4063,3680,2013,2798
"SNORD45C",24,22,11,29,28,46,32,25,5
"SNORD45A",23,20,28,14,31,30,35,9,34
"SNORD45B",22,22,31,24,21,26,43,25,32
"ST6GALNAC3",572,359,351,270,204,499,708,327,461
"ST6GALNAC5",573,441,372,204,311,410,547,335,352
"PIGK",3727,3509,3465,2450,3031,3658,5236,2654,4030
"AK5",37,31,32,23,17,33,35,23,45
"ZZZ3",3514,3509,3432,2073,3801,4502,4321,1699,3346
"USP33",2075,1954,1783,1338,1607,2170,2241,1339,1705
"FAM73A",2609,2794,2825,2187,3013,3820,3496,1896,2894
"NEXN-AS1",25,27,13,9,23,45,44,11,13
"NEXN",8507,7237,7198,6747,8202,11727,10136,4441,7541
"FUBP1",7427,6844,5798,4483,6621,8221,9305,4763,6762
"DNAJB4",5660,5827,5667,4223,6763,7604,6498,2974,4680
"GIPC2",102,101,109,59,45,42,52,23,40
"IFI44L",1698,706,1152,151,1149,747,1302,319,462
"IFI44",212,101,146,54,122,124,164,45,127
"LPHN2",506,515,346,254,546,628,674,353,427
"TTLL7",2820,2573,2095,1613,1293,1947,1658,632,1386
"PRKACB",1835,1531,1302,1414,1834,2683,3628,1521,1800
"SAMD13",90,106,67,69,138,171,210,100,118
"UOX",3,13,7,13,11,38,48,19,45
"RPF1",1130,1068,920,660,1020,1181,1793,1075,1352
"GNG5",1668,1659,1149,1169,1772,1944,2762,1644,1893
"SPATA1",323,260,228,197,205,244,303,107,282
"CTBS",2122,1802,1674,1197,1637,1802,1867,857,1486
"C1orf180",6,2,0,19,34,15,39,37,20
"SSX2IP",1409,1095,1082,1130,1410,1747,2588,1159,1782
"MCOLN3",51,27,33,34,18,45,47,13,32
"WDR63",3182,2711,2328,1798,1635,3005,2713,1467,2783
"SYDE2",764,580,591,440,525,623,574,265,512
"C1orf52",398,372,335,201,442,458,491,282,354
"BCL10",726,694,639,544,795,976,1318,617,802
"DDAH1",4247,4007,3237,5284,8113,10106,12542,7050,7325
"CYR61",215,298,216,607,1193,1256,1605,787,983
"ZNHIT6",934,748,696,685,1056,1228,1298,635,914
"ODF2L",2022,1530,1059,1082,802,1589,2309,715,1545
"SH3GLB1",2124,1827,1603,1221,1544,2287,2901,1285,1935
"SEP15",9430,9535,8730,6840,10056,11398,12286,7141,9651
"HS2ST1",1934,1601,1620,1170,1489,1867,1852,1069,1270
"LMO4",326,299,322,207,350,399,650,343,345
"PKN2",3258,3011,2608,2509,3066,4591,5086,2062,3562
"GTF2B",1750,1766,1409,1160,2108,2348,2045,1246,1742
"CCBL2",843,934,742,750,1003,1053,1244,589,957
"RBMXL1",1196,1245,1154,849,1410,1550,1345,759,1110
"GBP3",271,486,257,872,1146,1372,2762,1087,1215
"GBP1",4105,3794,3414,6007,8005,10280,8794,4784,6434
"LRRC8B",1034,773,739,816,997,1467,1787,1027,1179
"LRRC8C",166,98,109,179,249,288,363,115,134
"LRRC8D",438,399,410,275,597,608,783,373,491
"GEMIN8P4",30,26,19,13,21,6,12,17,8
"ZNF326",647,587,469,458,758,924,831,290,645
"ZNF644",5166,4555,3904,3623,4756,6408,7157,3094,5599
"HFM1",307,243,203,158,190,143,417,167,296
"CDC7",636,517,509,534,825,796,1143,792,924
"TGFBR3",2317,2525,2063,1710,1945,2577,1934,1109,1747
"EPHX4",62,30,15,19,22,27,30,15,12
"BTBD8",126,88,72,35,50,83,41,22,105
"KIAA1107",603,530,523,347,401,609,616,206,404
"GLMN",1167,1083,1042,820,951,1256,1387,722,1227
"RPAP2",927,809,696,489,769,950,1113,548,958
"EVI5",4029,3086,3160,2492,3029,4002,4384,2189,3571
"RPL5",18498,19531,18421,12158,23272,21796,22280,12849,17940
"FAM69A",784,746,757,736,1145,1181,1054,491,864
"SNORA66",39,31,26,22,50,40,34,21,22
"MTF2",2222,2315,2007,1732,2381,3251,2917,1259,2372
"TMED5",4408,3728,3176,2227,2589,3155,4005,1909,3563
"CCDC18",785,577,407,381,556,751,809,223,477
"LOC100131564",2059,2358,1911,1163,1742,1968,1838,801,1681
"DR1",875,852,751,461,637,717,836,394,586
"FNBP1L",2488,2418,2208,2269,3409,3997,4314,2067,2812
"BCAR3",240,222,236,208,283,322,531,294,281
"DNTTIP2",6010,4943,4480,4307,6055,8088,10785,4669,7537
"GCLM",1985,1650,1692,910,1066,1552,1472,723,1377
"ABCA4",1377,1207,1063,477,574,654,734,492,728
"ARHGAP29",2178,1923,1891,2072,2267,3070,3969,1691,2639
"LOC100505940",6,6,11,24,17,18,52,22,18
"ABCD3",2994,2389,2515,1789,2000,2527,3269,1885,2772
"F3",1086,1526,1175,1571,1769,1994,1346,704,1156
"LOC102723542",35,35,24,20,13,43,38,22,29
"LINC01057",45,49,22,25,34,25,71,31,53
"SLC44A3",146,117,104,93,99,130,175,136,100
"CNN3",5843,5845,5057,4980,6612,7478,7644,4711,5874
"RP4-639F20.1",191,143,150,109,192,162,176,120,169
"ALG14",569,458,466,352,527,590,827,416,555
"TMEM56",1051,721,1126,882,914,970,964,472,802
"TMEM56-RWDD3",62,30,34,40,51,66,94,22,63
"RP11-57H12.3",29,29,22,14,11,18,30,2,25
"RWDD3",557,490,494,414,592,661,801,385,618
"PTBP2",1587,1351,1095,1180,1690,2287,2342,1178,1628
"DPYD",93,112,107,147,335,336,560,271,354
"SNX7",368,252,286,229,262,344,272,153,280
"LPPR5",268,259,174,118,132,111,68,53,89
"LPPR4",126,141,92,105,136,138,288,91,126
"PALMD",8026,7450,7156,4941,5637,7378,6219,3412,5532
"AGL",6149,5215,5091,3029,2628,3145,3960,1485,3382
"SLC35A3",2121,1827,1815,1319,1420,1633,1924,881,1517
"HIAT1",2646,2601,2211,1429,2346,2805,2490,1487,2156
"SASS6",1019,910,805,552,715,1004,958,293,758
"TRMT13",938,848,748,594,804,1025,977,487,971
"LRRC39",97,96,111,66,104,118,110,19,84
"DBT",1927,1925,1701,1302,2100,2314,2372,1328,1771
"RP11-305E17.6",308,216,174,141,94,180,173,85,158
"RTCA",399,395,376,251,398,524,500,290,297
"CDC14A",709,548,530,371,442,722,676,263,462
"VCAM1",1041,961,941,265,660,768,1276,715,641
"EXTL2",2998,2766,2459,1633,2064,2516,3372,1774,2298
"SLC30A7",15914,13726,13496,11223,13444,18731,21094,9201,14694
"DPH5",1966,1845,1840,1218,1758,2039,2110,1303,1667
"LOC102606465",179,169,119,94,141,160,170,94,163
"S1PR1",1963,2383,1741,756,1367,1328,1039,652,1162
"OLFM3",1831,1380,1467,870,1428,1916,2734,1427,1815
"COL11A1",1238,1380,1097,1470,2019,2802,2917,1199,1934
"RNPC3",2422,1890,1921,1179,1637,1975,1648,831,1593
"AMY2B",1046,815,845,535,661,818,704,284,607
"ACTG1P4",83,84,78,48,56,121,46,21,41
"PRMT6",182,150,160,106,149,170,197,138,150
"NTNG1",107,48,43,59,38,72,83,38,54
"SLC25A24",197,175,208,212,195,319,306,154,198
"FAM102B",275,148,180,149,232,386,351,127,125
"PRPF38B",1048,868,857,834,1069,1458,1347,778,1075
"STXBP3",3836,3134,2996,2366,3416,4205,4861,2409,3581
"GPSM2",173,226,217,130,145,200,188,111,130
"CLCC1",1217,1122,905,583,953,1026,1642,820,1277
"WDR47",495,470,390,430,625,693,645,398,432
"TAF13",79,114,114,65,157,166,190,113,106
"TMEM167B",5520,5582,5107,3394,6649,6498,6369,3793,5536
"C1orf194",2660,2216,1982,1286,1424,1718,1802,1266,1481
"KIAA1324",88,84,80,62,117,151,133,119,119
"SARS",7551,7715,6510,4336,9192,9999,11185,6751,7827
"CELSR2",67,74,52,21,48,53,64,54,49
"SORT1",1332,1210,1046,766,1111,1532,2052,1161,1328
"PSMA5",3785,3400,3443,2630,3968,4506,5887,3402,3901
"CYB561D1",55,44,61,18,34,55,58,47,34
"GPR61",62,39,41,15,30,30,35,17,33
"LOC101928560",85,55,90,35,56,48,73,27,54
"GNAI3",7841,6639,5598,4332,7027,7823,10558,6238,7900
"GNAT2",259,221,224,194,259,308,268,154,205
"AMPD2",247,300,182,146,210,215,298,209,243
"GSTM4",399,323,304,108,225,206,293,180,258
"GSTM2",1447,1435,1220,495,838,1014,928,569,896
"GSTM3",8870,7775,7521,4833,7376,7765,7826,5024,6815
"CSF1",77,53,28,33,35,34,69,45,53
"AHCYL1",4842,4551,4249,2715,3933,4564,4836,2857,3847
"STRIP1",409,432,407,238,513,624,607,422,433
"RBM15",239,202,205,127,243,248,272,170,216
"SLC16A4",236,162,182,111,144,160,219,127,165
"LAMTOR5",6291,6694,5336,3516,6857,7076,7504,4494,5257
"KCNA3",108,134,66,116,162,279,222,87,112
"LRIF1",2578,2318,1931,1575,2746,3005,2965,1427,2325
"DRAM2",3368,3590,3250,2134,3373,3337,3573,1993,3134
"CEPT1",1361,1498,1397,1106,1719,1888,1819,1072,1444
"DENND2D",47,41,41,27,34,60,57,29,26
"PIFO",12435,11385,9876,6138,7620,10266,8674,5888,8983
"OVGP1",112,111,89,38,131,143,119,84,59
"WDR77",155,141,119,144,140,191,348,218,185
"ATP5F1",7415,6986,6195,4718,7218,7851,9045,5479,6909
"C1orf162",42,57,66,39,38,34,35,20,44
"RAP1A",289,228,259,191,270,368,383,231,263
"FAM212B",55,31,26,23,26,27,45,31,52
"DDX20",152,121,117,105,176,251,203,136,178
"CTTNBP2NL",1861,1868,1570,2043,3003,3806,4271,2515,3025
"WNT2B",65,47,28,53,44,71,77,40,58
"ST7L",399,354,286,184,310,339,566,250,356
"CAPZA1",15298,13917,13008,12296,16512,20199,26294,13277,16844
"MOV10",187,265,130,73,169,179,274,109,236
"RHOC",332,354,194,155,336,282,706,424,435
"RP11-426L16.8",30,50,41,15,39,29,38,15,36
"SLC16A1",2628,3089,2657,2061,3333,3325,3590,2007,2828
"RP11-31F15.2",295,286,294,206,241,285,254,129,173
"LRIG2",775,755,580,465,958,818,833,548,624
"LOC102723919",329,365,298,187,268,321,279,186,246
"MAGI3",2020,1663,1590,1043,1369,1840,1793,897,1408
"PHTF1",1176,1054,1054,715,885,1135,1009,675,886
"RSBN1",3404,3399,3280,2678,3825,4447,4090,2081,3133
"AP4B1",263,268,228,158,288,357,364,208,274
"DCLRE1B",259,211,200,136,229,251,342,205,243
"RP5-1073O3.7",39,33,23,23,20,32,23,17,41
"HIPK1",2967,2596,2432,1823,2305,2806,3072,1746,2454
"OLFML3",20,25,6,11,24,29,54,34,40
"TRIM33",8813,8165,7294,7221,8232,11491,11154,5090,8200
"LOC101928890",49,27,23,23,28,51,33,18,27
"BCAS2",5777,5214,4902,3826,6715,7463,8107,4477,5714
"DENND2C",641,578,570,312,331,478,411,264,395
"NRAS",7960,7566,7070,5922,10419,11954,15066,8029,10197
"CSDE1",29043,30667,28748,21442,39145,41781,44340,26271,33117
"SIKE1",1927,1888,1697,1295,1856,2334,2365,1283,1773
"TSPAN2",197,163,186,212,403,582,324,148,259
"VANGL1",70,32,37,11,24,28,48,55,46
"SLC22A15",112,85,87,51,74,140,112,32,48
"ATP1A1",1079,1277,947,623,1352,1292,1566,1062,1132
"ATP1A1OS",69,36,45,29,51,49,63,31,60
"CD58",179,180,124,127,143,166,269,120,207
"IGSF3",126,122,108,67,164,143,234,116,89
"PTGFRN",1540,1551,1293,1118,2012,2092,2766,1640,1910
"TTF2",241,204,167,178,255,343,550,316,320
"TRIM45",279,317,216,144,239,240,421,236,221
"VTCN1",13,23,12,13,30,27,28,21,50
"MAN1A2",1880,1749,1497,1189,1609,1960,2208,1059,1507
"FAM46C",3368,3573,3297,2748,4689,4969,4162,2522,4402
"GDAP2",4191,3423,3290,2767,2756,4062,4906,2008,3862
"WDR3",5391,5154,5245,4560,7266,7518,8462,4753,6877
"SPAG17",1456,1017,867,560,476,850,1140,368,940
"WARS2",435,378,316,201,394,278,610,301,346
"RP11-418J17.1",37,31,23,22,29,34,36,18,43
"ZNF697",52,80,83,81,114,136,181,101,91
"PHGDH",167,147,87,58,105,106,175,93,134
"NOTCH2",3765,3663,3143,2212,3328,3937,3828,2515,3081
"SEC22B",1706,1531,1316,876,1325,1792,2210,1251,1618
"NBPF8",116,124,100,76,148,159,134,59,114
"LOC100996724",131,115,120,56,113,113,103,56,85
"NBPF26",80,95,102,45,119,108,98,52,79
"SRGAP2C",240,216,218,203,296,281,406,159,270
"NBPF15",211,258,231,160,269,319,348,143,261
"NBPF20",48,40,45,37,43,74,101,31,62
"GPR89A",102,82,70,71,76,101,165,74,89
"CD160",26,31,43,8,21,42,34,18,14
"RNF115",222,235,262,168,263,303,309,237,260
"POLR3C",624,477,456,322,501,571,882,518,703
"PIAS3",174,164,140,67,132,143,176,135,182
"PEX11B",1323,1263,976,722,1260,1277,1596,918,1138
"RBM8A",5164,5046,4760,4004,7212,7660,8384,5380,6327
"LIX1L",1852,1749,1694,1062,1978,1714,2274,1287,1381
"POLR3GL",199,212,188,171,198,189,290,150,207
"TXNIP",4286,5404,5053,2526,4467,4755,6524,3586,4762
"NBPF10",41,54,24,28,45,64,47,19,39
"NOTCH2NL",41,36,31,39,37,31,43,21,27
"NBPF12",90,126,87,92,154,134,194,75,85
"PRKAB2",578,692,538,606,932,1267,915,492,563
"CHD1L",844,1237,1033,1076,1602,1539,1089,646,1028
"FMO5",42,43,40,58,14,51,48,24,33
"BCL9",127,201,142,77,144,159,178,114,139
"ACP6",67,96,78,65,137,104,130,91,113
"GPR89B",27,49,39,28,35,33,35,33,33
"NBPF11",107,99,116,89,125,138,131,63,80
"RP6-206I17.2",78,35,29,25,38,36,65,33,27
"LINC01138",87,96,77,41,121,120,115,58,90
"NBPF14",154,154,120,100,116,192,150,64,117
"PDE4DIP",1099,1048,1013,663,890,1016,916,566,926
"NBPF9",98,94,92,50,97,154,143,73,88
"NBPF19",173,195,138,129,191,208,144,79,112
"HIST2H2BE",153,145,172,80,243,235,93,100,98
"SV2A",98,136,88,40,114,112,155,94,83
"SF3B4",92,82,84,60,90,95,165,104,104
"MTMR11",50,66,41,34,71,74,66,51,66
"OTUD7B",139,142,112,155,170,215,212,122,193
"VPS45",2845,2633,2632,1817,2547,3148,3608,2234,3030
"PLEKHO1",34,25,23,22,27,40,58,36,40
"ANP32E",14833,14796,14424,10920,15892,19247,18424,8815,13122
"CA14",12130,12318,11507,4955,8139,8384,5875,3937,6303
"APH1A",123,132,71,75,125,121,106,92,139
"C1orf54",609,582,447,393,673,709,913,519,575
"C1orf51",281,496,364,251,436,439,360,278,271
"MRPS21",4139,4360,3733,2417,4398,4455,5053,3352,3731
"PRPF3",1803,1935,1656,1202,2526,2415,2254,1444,1873
"RPRD2",695,811,709,542,1015,1067,819,531,730
"TARS2",463,403,268,137,273,322,521,329,416
"ECM1",19,19,19,16,21,44,62,21,25
"ADAMTSL4",16,48,39,12,37,44,46,13,34
"ADAMTSL4-AS1",21,15,14,18,21,18,35,10,27
"MCL1",1933,1770,1399,1466,2496,3038,3824,2231,2466
"ENSA",1472,1651,1257,1057,1908,2071,2145,1526,1845
"GOLPH3L",1588,1799,1626,1164,2253,2459,1843,1101,1743
"CTSS",22,35,41,31,42,90,241,74,45
"CTSK",840,830,871,556,750,912,535,312,444
"ARNT",2822,3136,2752,1604,2576,2865,2583,1535,2350
"LOC100996521",275,165,165,63,63,63,71,24,73
"SETDB1",508,481,449,207,443,514,494,376,422
"CERS2",527,510,419,277,458,430,660,389,473
"ANXA9",54,56,26,11,25,19,18,5,22
"FAM63A",123,179,125,68,71,91,89,49,97
"PRUNE",500,523,479,234,472,400,539,359,552
"C1orf56",121,117,121,68,133,144,106,90,96
"CDC42SE1",87,88,89,73,85,84,171,111,72
"MLLT11",6950,6676,5653,5000,8455,10683,14916,8402,6979
"GABPB2",22,23,30,19,30,48,32,20,27
"LYSMD1",165,167,165,97,175,177,153,109,117
"SCNM1",104,111,80,60,120,124,111,77,86
"VPS72",90,131,77,46,69,74,158,76,96
"PIP5K1A",715,899,738,638,1277,1343,1051,687,765
"PSMD4",748,640,593,381,621,798,1106,654,689
"PI4KB",116,104,89,74,97,99,174,92,119
"RFX5",191,149,129,79,92,148,217,132,150
"LOC101927886",35,20,23,21,28,25,45,35,18
"SELENBP1",138,74,75,15,58,39,83,39,67
"PSMB4",2477,2286,2063,1944,2771,3172,4235,2442,2655
"POGZ",2802,2919,2542,1646,2757,3403,3034,1812,2589
"CGN",90,52,57,46,77,69,56,60,33
"TUFT1",189,284,201,253,417,423,538,339,352
"SNX27",4100,4410,3755,3023,4846,6322,5613,3806,4299
"CELF3",16,24,18,27,43,56,20,31,24
"RIIAD1",64,36,24,26,23,52,59,58,52
"MRPL9",105,81,75,49,75,143,129,83,82
"TDRKH",463,429,355,281,550,579,612,369,512
"LOC101927929",18,24,32,11,20,34,23,9,13
"THEM4",107,81,60,67,79,93,133,59,103
"S100A10",235,471,301,635,840,1125,2530,1056,1076
"S100A11",128,290,183,504,474,671,1498,758,590
"S100A6",250,356,201,543,869,942,1301,613,617
"S100A4",15,19,14,18,31,42,89,43,33
"S100A2",18,26,16,70,111,122,204,105,108
"S100A16",54,93,45,84,143,165,461,205,205
"S100A13",258,340,223,310,460,527,594,375,445
"CHTOP",241,236,167,141,265,256,268,187,201
"SNAPIN",148,132,110,72,170,188,187,99,140
"ILF2",8244,7592,5888,4342,6886,8469,13898,7505,8503
"INTS3",651,794,654,456,781,791,717,473,647
"SLC27A3",24,27,14,11,18,31,39,12,24
"GATAD2B",1407,1593,1342,931,1612,1800,1215,947,1241
"DENND4B",99,134,74,63,134,162,118,72,90
"CRTC2",47,57,26,42,36,45,91,32,24
"SLC39A1",153,153,161,110,220,216,255,153,163
"CREB3L4",137,112,72,31,97,90,97,49,91
"JTB",154,160,128,77,147,166,215,135,154
"RAB13",328,346,275,212,385,493,595,347,351
"RPS27",13200,14604,12180,7967,15578,13859,14275,8077,11440
"NUP210L",30,46,27,27,42,42,25,14,33
"TPM3",1352,1226,860,941,1401,1845,3025,1710,1845
"C1orf43",856,949,803,504,927,998,1054,695,796
"UBAP2L",1549,1575,1095,866,1473,1806,2276,1407,1678
"HAX1",1158,1318,1143,668,1565,1358,1488,984,1204
"ATP8B2",46,40,29,22,39,45,78,38,59
"IL6R",6,18,15,13,38,19,53,25,25
"UBE2Q1",269,206,177,140,211,287,345,216,231
"ADAR",4837,4996,4469,3179,5810,6354,6283,3908,5143
"KCNN3",585,446,409,246,393,538,736,374,479
"PMVK",26,31,21,13,20,17,35,24,15
"PBXIP1",232,172,184,116,169,206,250,133,149
"PYGO2",140,136,147,65,143,145,209,126,151
"SHC1",60,81,58,58,113,108,182,90,92
"CKS1B",449,498,451,266,473,402,516,340,386
"FLAD1",146,144,97,60,99,122,252,158,187
"ADAM15",35,28,20,11,28,35,30,17,27
"EFNA1",104,171,100,73,205,215,357,162,196
"SLC50A1",796,869,829,590,851,827,1232,835,1026
"DPM3",67,70,35,16,28,33,66,46,50
"KRTCAP2",872,1008,622,440,826,923,1334,865,1036
"MUC1",30,34,28,18,37,27,51,28,25
"THBS3",352,257,209,124,247,295,394,244,314
"MTX1",72,47,41,19,42,35,93,57,59
"GBAP1",23,27,12,18,19,33,39,27,27
"GBA",236,236,185,219,290,383,487,319,387
"FAM189B",30,54,25,13,37,36,55,27,33
"SCAMP3",379,327,249,132,251,352,481,262,404
"CLK2",211,225,185,155,206,229,250,158,219
"FDPS",2344,2789,2231,1983,3714,3461,4267,2669,2972
"RUSC1",45,58,41,28,42,47,60,34,50
"ASH1L",3254,3447,2827,2181,3094,3658,3138,1661,2851
"MSTO1",60,62,58,42,66,92,109,55,60
"YY1AP1",445,540,423,288,580,621,567,385,479
"DAP3",3272,3217,2877,1982,3189,3576,4220,2663,3313
"GON4L",998,1010,829,645,1288,1448,1558,884,1074
"SYT11",3258,3690,2735,1986,4674,4375,5514,3522,3902
"RIT1",1297,1167,949,808,1444,1627,2027,1308,1500
"KIAA0907",1572,1721,1530,1288,2018,2250,2027,1019,1500
"ARHGEF2",32,34,30,13,42,57,54,31,35
"SSR2",4150,4511,3863,2813,5244,4810,5920,3593,4289
"UBQLN4",67,71,63,48,77,80,120,66,73
"LAMTOR2",706,766,579,354,625,708,904,611,692
"MEX3A",224,181,139,167,318,313,464,255,273
"LMNA",76,77,77,95,102,112,203,116,114
"SLC25A44",339,366,223,142,269,364,438,291,356
"PMF1",32,29,18,15,33,24,48,30,22
"SMG5",76,61,48,45,66,78,98,49,81
"C1orf85",76,67,35,42,59,76,140,87,96
"CCT3",10249,9754,9438,7506,11641,12887,15870,9735,11342
"TSACC",21,29,26,24,42,46,32,33,35
"C1orf61",910,772,662,267,1135,912,1158,583,739
"MEF2D",25,41,30,28,50,59,48,32,42
"APOA1BP",74,59,54,37,71,65,99,74,64
"GPATCH4",390,294,278,299,408,560,937,512,585
"NES",47,51,38,84,109,168,373,210,111
"CRABP2",2812,3665,2324,1753,3853,4214,5538,3527,3327
"ISG20L2",712,828,665,418,867,858,975,637,829
"RRNAD1",108,129,83,55,70,61,129,64,94
"MRPL24",1061,1191,971,728,1262,1268,1782,1327,1299
"HDGF",273,344,329,222,426,395,449,366,377
"PRCC",343,282,270,186,359,299,429,231,285
"ARHGEF11",128,136,89,66,106,126,127,67,101
"ETV3",920,1063,935,1177,1662,2102,1643,1732,1945
"KIRREL",726,727,493,576,858,938,1111,793,870
"IFI16",72,56,68,46,111,90,245,78,88
"AIM2",245,150,181,64,55,132,103,84,90
"CCDC19",1371,1107,944,587,642,1007,1109,711,1039
"TAGLN2",717,762,383,439,601,811,1849,975,882
"IGSF9",41,30,43,12,16,14,20,11,22
"PIGM",1087,862,790,641,800,994,1373,712,936
"ATP1A2",595,279,358,76,219,213,213,108,164
"CASQ1",112,76,112,23,39,33,71,31,20
"PEA15",761,732,596,360,827,834,1129,727,741
"DCAF8",772,926,660,341,647,667,697,526,670
"PEX19",4411,4684,4331,2951,5052,5583,5891,3805,4722
"COPA",12516,14659,12247,8645,17492,17243,19433,11526,15402
"SUMO1P3",157,188,140,121,167,147,230,131,121
"NCSTN",4175,5204,4337,2642,4801,5033,5137,3399,4531
"VANGL2",372,366,406,269,560,615,517,458,466
"F11R",1293,1347,1324,1065,1827,2071,2712,1678,1719
"KLHDC9",31,38,24,18,20,27,32,19,13
"PFDN2",239,240,211,138,333,295,422,250,264
"NIT1",589,525,419,209,461,444,608,364,449
"DEDD",629,739,534,356,578,680,902,521,550
"UFC1",2736,2499,2234,1556,2320,2675,3193,2025,2484
"USP21",91,97,49,39,54,91,94,51,69
"PPOX",123,120,117,55,97,100,102,84,90
"B4GALT3",377,356,293,190,356,398,551,330,436
"ADAMTS4",27,31,11,12,10,26,37,26,19
"NDUFS2",2011,1900,1370,741,1427,1528,2035,1356,1724
"TOMM40L",52,62,47,27,42,58,111,45,61
"SDHC",666,796,645,399,770,993,654,661,956
"C1orf192",3913,3494,3132,1668,2237,3106,2718,1894,2666
"DUSP12",150,97,90,60,99,81,166,94,116
"ATF6",4991,4382,3737,2719,3806,4696,6913,3723,5092
"NOS1AP",101,91,111,42,104,124,94,59,79
"C1orf226",116,110,96,47,93,94,125,86,74
"UHMK1",3447,2985,2818,2718,3576,4486,5035,2364,3368
"UAP1",1823,2360,2081,3954,7335,7948,8031,4007,5031
"DDR2",1087,752,703,506,722,888,1132,561,852
"HSD17B7",935,1199,973,787,1288,1238,1070,684,957
"C1orf110",1486,913,860,972,811,1353,1847,716,1262
"RGS4",298,292,168,1288,1480,1959,7506,2902,1844
"RGS5",1544,1778,1077,3124,4440,5027,8522,3279,6393
"NUF2",118,85,91,41,50,87,85,82,83
"PBX1",1223,1071,1005,517,890,1042,1083,676,797
"LOC102724387",42,41,29,18,31,30,25,11,30
"LMX1A",655,614,425,239,364,469,542,376,527
"MGST3",3043,3314,2776,2059,3236,3631,4004,2402,2962
"ALDH9A1",2543,2100,1627,942,1394,1498,2016,1123,1473
"TMCO1",9866,9138,8185,6656,10079,11466,13553,7738,9701
"RP11-466F5.8",25,40,34,27,24,39,23,22,28
"UCK2",374,367,219,171,314,458,598,387,423
"POGK",939,767,804,598,927,1001,1221,761,1000
"TADA1",2565,2580,2499,1632,3152,3470,3434,1747,2324
"ILDR2",749,625,597,434,413,725,661,477,578
"MAEL",28,34,14,12,28,10,29,10,16
"POU2F1",788,652,514,435,621,818,947,491,692
"CREG1",327,367,278,217,295,330,368,177,217
"MPZL1",1646,1461,1157,868,1242,1601,2197,1206,1464
"MPC2",692,626,575,263,381,446,469,332,403
"DCAF6",1071,694,668,544,538,897,1048,464,631
"GPR161",308,304,236,215,356,442,635,421,377
"TIPRL",1299,989,1080,781,1343,1558,2065,1101,1173
"SFT2D2",54,62,59,31,64,79,61,57,72
"ANKRD36BP1",538,519,416,487,599,808,943,577,683
"ATP1B1",311,399,331,173,342,317,306,192,246
"NME7",2954,2653,2443,2090,3003,3603,4535,2491,3252
"BLZF1",2177,2247,1930,1559,2533,3215,3533,1550,2258
"CCDC181",3601,3174,3224,2138,2969,3685,3895,2229,3575
"SLC19A2",1060,1003,853,1055,1340,1741,1722,713,1186
"F5",929,399,468,192,176,249,330,151,322
"METTL18",874,784,743,499,810,947,1101,566,751
"C1orf112",456,377,400,337,375,579,723,377,491
"SCYL3",493,401,406,358,323,563,594,352,441
"KIFAP3",3751,3149,2697,2282,3391,4213,5179,2702,3355
"GORAB",1096,1082,923,844,1080,1381,1730,788,1139
"FMO4",72,105,85,76,114,136,157,64,121
"PRRC2C",6929,6645,5816,4822,6942,8932,10034,4445,6773
"VAMP4",349,355,280,242,284,349,429,171,315
"METTL13",112,130,114,58,162,134,142,91,112
"DNM3",394,328,207,151,199,370,452,163,269
"DNM3OS",572,401,352,265,268,589,438,132,304
"LOC102724528",129,114,80,52,114,125,159,60,109
"PIGC",698,603,598,411,604,685,889,540,632
"SUCO",2318,2507,2048,1431,2781,3694,3102,1419,2101
"TNFSF4",32,16,28,20,18,34,17,18,17
"LOC101928673",32,17,29,24,37,29,26,30,34
"PRDX6",7890,8549,7532,7281,13111,13808,12203,7928,10125
"ANKRD45",809,815,595,1336,1369,2277,2836,1091,1746
"KLHL20",2181,2027,1532,4049,4030,6411,9506,4794,5592
"CENPL",175,158,120,93,169,149,244,146,143
"DARS2",1492,1415,1354,1007,1475,1478,2076,1194,1511
"GAS5-AS1",26,19,22,3,23,13,49,13,22
"GAS5",6537,7613,6817,3799,8800,7827,7197,4238,6362
"SNORD81",41,39,55,33,67,71,68,50,52
"SNORD47",81,87,88,97,156,178,151,98,126
"SNORD80",62,89,74,101,197,229,186,102,139
"SNORD79",63,53,44,78,138,113,110,45,66
"SNORD78",17,7,18,22,36,36,23,14,20
"SNORD44",45,53,46,48,85,89,91,61,73
"SNORD77",22,14,21,37,54,46,41,17,32
"SNORD76",61,61,69,67,100,100,80,57,65
"ZBTB37",44,57,56,30,52,63,58,31,44
"RC3H1",13695,11574,11234,9616,12475,17392,14725,6750,10353
"RABGAP1L",11837,9153,9265,4505,5736,6661,6395,3595,6888
"RP1-102G20.5",43,25,33,16,39,31,15,19,21
"LOC102724578",30,28,26,13,24,26,25,6,19
